PORCN	K00181
WNT1	K03209
WNT2	K00182
WNT2B	K00182
WNT3	K00312
WNT3A	K00312
WNT4	K00408
WNT5A	K00444
WNT5B	K00444
WNT6	K00445
WNT7A	K00572
WNT7B	K00572
WNT8A	K00714
WNT8B	K00714
WNT9A	K01064
WNT9B	K01064
WNT10B	K01357
WNT10A	K01357
WNT11	K01384
WNT16	K01558
CER1	K01645
NOTUM	K19882
WIF1	K01691
SERPINF1	K19614
SOST	K16834
DKK1	K02165
DKK2	K02165
DKK4	K02165
SFRP1	K02166
SFRP2	K02176
SFRP4	K02185
SFRP5	K02222
FZD1	K02432
FZD7	K02432
FZD2	K02235
FZD3	K02329
FZD4	K02354
FZD5	K02375
FZD8	K02375
FZD6	K02376
FZD10	K02842
FZD9	K02842
LRP5	K03068
LRP6	K03068
BAMBI	K10162
CSNK1E	K08960
TPTEP2-CSNK1E	K08960
DVL3	K02353
DVL2	K02353
DVL1	K02353
FRAT1	K03069
FRAT2	K03096
CSNK2A1	K03097
CSNK2A2	K03097
CSNK2A3	K03097
CSNK2B	K03115
NKD1	K03213
NKD2	K03213
CXXC4	K03344
GSK3B	K03083
CTNNB1	K02105
AXIN1	K02157
AXIN2	K04385
APC	K02085
APC2	K02085
CSNK1A1L	K08957
CSNK1A1	K08957
TCF7	K02620
TCF7L1	K04490
TCF7L2	K04491
LEF1	K04492
CTNNBIP1	K04493
CBY1	K23402
SOX17	K04495

