Tentacles,Organizer,Time
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
0,WO,0
1,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
1,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
0,WO,12
5,NO,0
6,NO,0
5,NO,0
0,NO,0
0,NO,0
3,NO,0
0,NO,0
1,NO,0
0,NO,0
0,NO,0
0,NO,0
2,NO,0
0,NO,0
1,NO,0
0,NO,0
0,NO,0
0,NO,0
0,NO,0
0,NO,0
1,NO,0
0,NO,0
4,NO,0
0,NO,0
0,NO,0
1,NO,0
0,NO,0
3,NO,0
1,NO,0
0,NO,0
1,NO,12
3,NO,12
1,NO,12
0,NO,12
2,NO,12
1,NO,12
1,NO,12
0,NO,12
2,NO,12
5,NO,12
4,NO,12
2,NO,12
3,NO,12
7,NO,12
1,NO,12
2,NO,12
6,NO,12
5,NO,12
0,NO,12
1,NO,12
4,NO,12
1,NO,12
6,NO,12
4,NO,12
1,NO,12
3,NO,12
0,NO,12
0,NO,12
3,NO,12
0,NO_AEP,12
1,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_AEP,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
2,NO_105,12
0,NO_105,12
5,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
3,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
1,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
5,NO_105,12
0,NO_105,12
1,NO_105,12
0,NO_105,12
0,NO_105,12
0,NO_105,12
